Posicao_Rank,Features,Curva ROC,KS,divergencia_kl,Wasser,inf_mutua,Overlap_GMM,Geo_Score,Skewness_Score,Kurtosis_Score,Corr_Score,Outlier_Score,Silhouette,Davies_Bouldin,Dist_Centroides,Score_Final
1,V10 | V11 | V14,0.9764721431216635,0.9874682039956039,0.9094976836405789,0.8925560841278729,0.9603285909897341,0.9091825904597575,0.06361085216486594,0.4533070745142626,0.06560006763666563,0.8459207164723086,0.1613852250679831,0.5443824605152748,3.1105377078367016,1.1561884183256081,0.6504195201452845
2,V10 | V14 | V17,0.9999999997347777,0.9825643214318969,0.8272913814098101,0.9706830949725803,0.9471486637677538,0.9306264962703988,0.07739652183061252,0.24883928078291626,0.024430218456292944,0.7394465404692843,0.11532737813800223,0.6026015416707267,2.785491369099606,1.454220570970096,0.6399467720381545
3,V10 | V14 | V16,0.9795020429631496,0.9561574568658707,0.9007692117992038,0.9020481154460924,0.9252923688795254,0.90978141449673,0.0636620494905898,0.39323217936475974,0.05699001089258293,0.8488356905654311,0.11126057737378937,0.5740968710594021,3.031767057234405,1.1231216073721868,0.639773000120203
4,V10 | V12 | V14,0.9840621955279906,0.999999999727761,0.8811375760937349,0.9527023715659825,0.9800357941272773,0.7921691452450677,0.06155743904303862,0.31980098864923556,0.04962752576829613,0.8197458617084291,0.08087913769312735,0.44502125207057297,2.6032614540473022,1.1651243359192334,0.6383407639673115
5,V3 | V10 | V11,0.9180409207009311,0.9248308780549214,0.8215730201153215,0.8941512162509099,0.8753661805869811,0.9602291003987287,0.13638985242477134,0.4320826784766371,0.06265791215040055,0.8702592072729988,0.3317701706813826,0.6140247216356589,1.688181359710708,2.948871367876171,0.6365803603890177
6,V11 | V12 | V14,0.9718603460075703,0.9782935484435973,0.9596103995402182,0.9074636700705568,0.9643141832680435,0.782124414018771,0.06342987625345038,0.3692493346321793,0.08196019947643697,0.6700448451758168,0.1197369234601103,0.4280986970957698,2.242806373556742,1.2024234478656635,0.6365541520486411
7,V4 | V14 | V17,0.9823897316596812,0.9655106564552699,0.8270646573803726,0.9447819444267078,0.967112869367701,0.909702056460831,0.09300270468252438,0.2694132139252404,0.030742942721538963,0.7424695185156654,0.10677237423440433,0.5184782568589068,2.1581997490941878,1.912819398786238,0.6358891363761224
8,V10 | V11 | V16,0.9398377018116163,0.9170998369288892,0.9543023715085464,0.8139432436781604,0.8584694599633088,0.9251134505525443,0.080451641941624,0.5464143752760938,0.0850304370034474,0.8724549565330907,0.2310089135792384,0.585620717675644,2.244675320167547,1.5107508956985127,0.6358478560888137
9,V3 | V10 | V14,0.9577052618524642,0.9638884979919029,0.7487241277552631,0.9702417781052568,0.9421890895031977,0.9310476542127135,0.11470722316403276,0.32186357263530363,0.045753129767422664,0.8326324218132348,0.14077737943742938,0.5706706058445322,1.942062417923496,2.4311454650652533,0.6357056989624665
10,V12 | V14 | V17,0.9953882026206842,0.9733896658798904,0.8865725296050154,0.9834808350574881,0.9511342560460632,0.8484447891334905,0.07746773565476248,0.21122267467314695,0.026643041126284392,0.6514694233846933,0.08846984692315554,0.4813067665725967,1.9947485250938626,1.5077122183481622,0.6346903002961866
11,V10 | V11 | V17,0.9603356585832445,0.9435067014949151,0.8894675904014246,0.8946642592915527,0.8803257548515373,0.9485314830415947,0.07139662375525692,0.32370812525668047,0.02895570290543971,0.7913795108676719,0.2433166764473964,0.5871567416804329,3.2789866952961,1.335989860536871,0.6317858424868045
