Posicao_Rank,Features,Curva ROC,KS,divergencia_kl,Wasser,inf_mutua,Overlap_GMM,Geo_Score,Skewness_Score,Kurtosis_Score,Corr_Score,Outlier_Score,Silhouette,Davies_Bouldin,Dist_Centroides,Score_Final
1,V10 | V14,0.9836490807116461,0.9999999996634533,0.8222583847663384,0.953081005033694,0.9710158001696775,0.9091019265750174,0.06415292757941345,0.35499535241378494,0.04112867532459942,0.9933254146228889,0.0603891609842601,0.6403307886039744,2.63964654820845,1.0975176322740567,0.6466851039729197
2,V12 | V14,0.9769912073543023,0.9866417696485477,0.9047435977839688,0.9726208844231121,0.9768021161392764,0.8146285845095181,0.07210231268662988,0.2738883498341237,0.05206353171073449,0.9226805950877358,0.042231892588574224,0.5383725769512677,1.741753953404122,1.325176188353871,0.6430129498229356
3,V10 | V11,0.9263872034745957,0.9431323965152493,0.9086598264076929,0.8308056236513549,0.8740017460474652,0.9443578754995949,0.08848020055556341,0.5706139955265783,0.06794097037586379,0.9496755607471095,0.1794431083817033,0.6616386224986816,1.6005213672523253,1.6264578988628902,0.6393597563524842
4,V14 | V17,0.9999999996705692,0.9612555521691224,0.8309682456990835,0.9980803301976575,0.9290563071589557,0.8247909712821617,0.06362237579527319,0.19692800727909876,0.018781741071931604,0.7561600270983929,0.06919783544126873,0.5585719523893723,1.8977464322935098,1.0945380205055233,0.6248958572092878
5,V11 | V17,0.9427381224335191,0.9043879490209185,0.9158560751681227,0.8875631683853216,0.8320422530367435,0.9102533814177088,0.07241720088383273,0.27836999917289246,0.023434543007164455,0.8914876162680849,0.23274326828285247,0.5581738214348364,1.5116544742611189,1.2805044129328331,0.619446121060319
6,V10 | V16,0.9307613528421824,0.8975441823608713,0.8962906851111269,0.8466597829537432,0.8231358678155052,0.9017787934822936,0.07489985212511344,0.4522295211175575,0.05414270961055782,0.9189782627020916,0.09126597994725077,0.6444873326725502,2.0496338253471156,1.3317845697732842,0.6159455744827693
7,V10 | V17,0.9603534612748714,0.9359923800992914,0.7874070118313119,0.9558555786799049,0.8548670182486023,0.9409264608538545,0.060183771803118395,0.23234372937636222,0.017485471743875564,0.7821936897921941,0.09679365484561542,0.6760953983808594,3.5558154747696897,1.0093163155589335,0.6137691358999182
8,V11 | V14,0.9660337418702936,0.96839556858508,0.9422802672988817,0.8843820859091172,0.9481910349578189,0.5549418861242248,0.02909111594998017,0.4439970236327218,0.088496970421935,0.7766379675765969,0.1138187478114415,0.3895446012927585,4.601093414093492,0.49324108223240704,0.6113750018763932
9,V3 | V10,0.8992941818798666,0.908800520544995,0.6588583079264719,0.9551807098938863,0.8476666671425458,0.9559879045337303,0.13429282990966993,0.3339482843519709,0.03918757718109722,0.8954839729119092,0.13714990355788864,0.6664916210614947,1.5169036901731967,2.8517930991797082,0.6088616018357189
10,V10 | V12,0.9373446689586042,0.9613785975787168,0.8680660153743658,0.9280941037815726,0.9026128272289229,0.6747580731398014,0.06401210882614732,0.33083274887099506,0.04400862441934829,0.757426228940195,0.05597227496759497,0.45703450940665274,1.6301124142871612,1.1715333614413768,0.6055381459030396
