Features,Silhouette,Davies_Bouldin,Dist_Centroides,Overlap_GMM,KS,Wasserstein,ROC_AUC,Score_Final
V12 | V23,0.6480670119819905,0.9981952686094175,0.20525817073321082,0.9164493110546617,0.5578239982823865,0.47059123516937357,0.6885281206817861,0.6656649395176937
V3 | V23,0.6422910011653771,0.9981610929118496,0.2839033447177341,0.9392627493566063,0.5006628914951291,0.5236286038613414,0.6518432113566743,0.6654310578374573
V1 | V21,0.6526331599789713,0.9982920898300027,0.308328682642993,0.9547965397928988,0.5724054641582351,0.43315606617157004,0.6196642251510796,0.6649361535240365
V5 | V18,0.7172851635392358,0.9971905545589979,0.20954745884083653,0.9296035089390792,0.5420165857062345,0.3916503168681212,0.6613168685343651,0.6645872354878865
V15 | V17,0.7438036744405115,0.9980747609525558,0.2814997463722716,0.9387630511697819,0.4550785003086337,0.5031691162767356,0.5157626210676798,0.6638674668264152
V16 | V27,0.5860645185888683,0.9973992534313936,0.13633317294312677,0.9152157913353011,0.6838173962051475,0.34053615516253555,0.834441904859738,0.6636349782405528
V10 | V23,0.6444127542581158,0.9967474379669585,0.15123080893504046,0.9303163532316734,0.5674662515767156,0.42824789154921167,0.6952885822764623,0.662353963725279
V3 | V22,0.7616336861896699,0.9991152932930278,0.43231687416299164,0.9448070470569073,0.4210622366549476,0.5109898879102726,0.4931757859684265,0.6623381868215309
V5 | V9,0.6744540230012763,0.9963728860908782,0.17781076146353944,0.9091278124344182,0.5879563082042887,0.4111337016611169,0.6599715344242885,0.6617106142744336
V7 | V20,0.6217477527465523,0.9963844606065445,0.16335818458370938,0.9297572007119417,0.5934462306433,0.4312926609765318,0.6852530926690106,0.6613493259554909
V6 | V7,0.5452754468800527,0.9960955648782355,0.15712611984500732,0.8945268679780102,0.6722192104345026,0.49273276123423543,0.6840379667162719,0.6613447697198905
V1 | V8,0.6471719566598333,0.9976085802151278,0.2946252830076232,0.953964001775634,0.4806870454362471,0.5294042259469168,0.5731163858180335,0.6596138824673029
V3 | V24,0.7670747370761954,0.999214263693544,0.3986553234578341,0.927038425769628,0.46649311612678146,0.501310197436919,0.41420881874168436,0.6585098352983644
V3 | V26,0.7749430407294365,0.9992319029937733,0.39806326387833507,0.9250660759337872,0.4472901961836774,0.4968308837232645,0.44377913632794064,0.6582044087799883
V3 | V25,0.7438372549479982,0.9989964846223502,0.36821928280227867,0.9222396896234807,0.4429789860712273,0.5047489241424894,0.5138167074637205,0.6574464889319851
V3 | V13,0.7333956358280067,0.9991165772387984,0.3925264480651519,0.9236988608944677,0.4549947666460912,0.5018602720542216,0.5160802568840239,0.6572526576090836
V7 | V23,0.706279543622524,0.9971038212616621,0.20939417600541577,0.9477650725973871,0.4733249241834626,0.42144353165623294,0.6402871247560851,0.6564935576985254
V2 | V5,0.5679468741442592,0.9933454355361331,0.11419834655723411,0.8802349855335893,0.6244362738520169,0.4871816705731406,0.7095966115241878,0.6553287149569125
V8 | V21,0.7293619405805637,0.9839714633944847,0.042944518847713775,0.9667376901703223,0.5052682429349723,0.29030280609275133,0.7018255724315541,0.6533216747364217
V14 | V15,0.6955254824527446,0.9990338872944036,0.2605165527443251,0.8949746715798781,0.5121344032634658,0.49536114948236537,0.5387256631267168,0.6529967153699935
V5 | V21,0.666090886865149,0.9952990933480144,0.1442083526726884,0.9549869504092919,0.5476600198599072,0.3287731066037939,0.6868741617005094,0.6492435007814015
V4 | V9,0.47473092353083945,0.9975538807110466,0.14117118308577853,0.7603362797767035,0.8037755293738762,0.4988230380791588,0.794008442354506,0.6486873585529433
V3 | V15,0.740993728839442,0.9991384588303212,0.3991916017891963,0.9277637719947236,0.4253627116824562,0.4996292134013088,0.4562381196320109,0.6478115721884955
V18 | V21,0.663416371032187,0.9958744613750248,0.11259486877355425,0.9515842524400365,0.5913432275032877,0.25693185658173195,0.7228161185984556,0.6456867845449054
