Combo,Feature_1,Feature_2,Feature_3,Silhouette,Davies_Bouldin,Wasserstein,Mahalanobis,Overlap_Gaussiano
Combo3D_75,V10,V4,V9,0.419743,3.638674,3.596584,6.568231,0.919945
Combo3D_76,V10,V17,V3,0.622371,2.432402,6.062748,10.520277,0.986021
Combo3D_77,V10,V17,V16,0.57623,4.014202,6.102535,10.558617,0.977215
Combo3D_78,V10,V17,V7,0.618244,6.880257,6.021567,10.460333,0.984185
Combo3D_79,V10,V17,V9,0.606393,3.530324,5.298326,9.727486,0.980001
Combo3D_80,V10,V3,V16,0.582972,2.117854,4.878502,8.44195,0.982446
Combo3D_81,V10,V3,V7,0.642396,3.166521,4.797535,8.318696,0.987716
Combo3D_82,V10,V3,V9,0.641123,1.900678,4.074294,7.376051,0.990074
Combo3D_83,V10,V16,V7,0.607622,5.221926,4.837322,8.36713,0.981157
Combo3D_84,V10,V16,V9,0.376124,2.55043,4.11408,7.430631,0.890853
Combo3D_85,V10,V7,V9,0.643359,4.113368,4.033113,7.290299,0.985145
Combo3D_86,V11,V4,V17,0.469147,1.931901,5.087313,9.276024,0.958183
Combo3D_87,V11,V4,V3,0.231194,1.666185,3.86328,6.769546,0.799845
Combo3D_88,V11,V4,V16,0.237222,1.613175,3.903067,6.828976,0.826497
Combo3D_89,V11,V4,V7,0.529069,3.693121,3.8221,6.676008,0.971962
Combo3D_90,V11,V4,V9,0.235381,1.619469,3.098859,5.456603,0.823723
Combo3D_91,V11,V17,V3,0.611775,1.559638,5.565023,9.864536,0.987348
Combo3D_92,V11,V17,V16,0.471924,2.198919,5.60481,9.905414,0.961108
Combo3D_93,V11,V17,V7,0.600199,5.181648,5.523842,9.800582,0.98499
Combo3D_94,V11,V17,V9,0.541652,2.40871,4.800601,9.014258,0.973918
Combo3D_95,V11,V3,V16,0.554371,1.785611,4.380777,7.609164,0.979778
Combo3D_96,V11,V3,V7,0.588787,2.923752,4.29981,7.472185,0.988929
Combo3D_97,V11,V3,V9,0.600125,1.62743,3.576568,6.406167,0.988233
Combo3D_98,V11,V16,V7,0.569929,6.897124,4.339596,7.526069,0.978733
Combo3D_99,V11,V16,V9,0.244237,3.951482,3.616355,6.468936,0.775587
Combo3D_100,V11,V7,V9,0.564947,6.575534,3.535388,6.307243,0.979628
Combo3D_101,V4,V17,V3,0.557756,1.90592,5.393055,9.681243,0.970672
Combo3D_102,V4,V17,V16,0.440957,2.839988,5.432842,9.722892,0.925291
Combo3D_103,V4,V17,V7,0.572605,3.847369,5.351874,9.61607,0.97951
Combo3D_104,V4,V17,V9,0.394276,4.696328,4.628633,8.813299,0.889728
Combo3D_105,V4,V3,V16,0.347288,4.778976,4.208809,7.369991,0.849003
Combo3D_106,V4,V3,V7,0.603563,3.020259,4.127842,7.228481,0.9841
Combo3D_107,V4,V3,V9,0.31164,12.613798,3.404601,6.120161,0.838172
Combo3D_108,V4,V16,V7,0.559912,6.127057,4.167628,7.284168,0.967849
Combo3D_109,V4,V16,V9,0.192456,5.554541,3.444387,6.185833,0.824491
Combo3D_110,V4,V7,V9,0.534059,7.334542,3.36342,6.016536,0.954103
Combo3D_111,V17,V3,V16,0.522615,1.95141,5.910552,10.285868,0.971046
Combo3D_112,V17,V3,V7,0.629976,2.584894,5.829584,10.184953,0.986496
Combo3D_113,V17,V3,V9,0.604249,1.950408,5.106343,9.430731,0.983654
Combo3D_114,V17,V16,V7,0.594821,4.868332,5.869371,10.22455,0.978583
Combo3D_115,V17,V16,V9,0.471808,2.53374,5.14613,9.473482,0.941209
Combo3D_116,V17,V7,V9,0.608653,6.446502,5.065162,9.363815,0.98224
Combo3D_117,V3,V16,V7,0.600253,3.14212,4.645338,8.020197,0.983733
Combo3D_118,V3,V16,V9,0.533636,2.14,3.922097,7.037684,0.970332
Combo3D_119,V3,V7,V9,0.599462,3.122408,3.84113,6.889352,0.987117
Combo3D_120,V16,V7,V9,0.567992,6.039725,3.880916,6.947757,0.974323
